지점,지점명,일시,강수량(mm),적설(cm),3시간신적설(cm)
108,서울,2017-01-02 06:00,.3,,
108,서울,2017-01-02 09:00,0,,
108,서울,2017-01-08 18:00,0,,
108,서울,2017-01-08 21:00,0,,
108,서울,2017-01-09 00:00,0,,
108,서울,2017-01-09 03:00,0,,
108,서울,2017-01-09 06:00,0,,
108,서울,2017-01-12 02:00,,.1,
108,서울,2017-01-12 03:00,0,.1,.1
108,서울,2017-01-12 04:00,,.1,
108,서울,2017-01-12 05:00,,.1,
108,서울,2017-01-12 06:00,,.1,
108,서울,2017-01-12 07:00,,.1,
108,서울,2017-01-13 09:00,0,.2,.2
108,서울,2017-01-13 10:00,,.3,
108,서울,2017-01-13 11:00,,1.1,
108,서울,2017-01-13 12:00,.6,1.5,1.4
108,서울,2017-01-13 13:00,,.8,
108,서울,2017-01-18 15:00,0,,
108,서울,2017-01-20 03:00,.1,.2,.2
108,서울,2017-01-20 04:00,,2.5,
108,서울,2017-01-20 05:00,,4.6,
108,서울,2017-01-20 06:00,3.3,6,5.9
108,서울,2017-01-20 07:00,,6.3,
108,서울,2017-01-20 08:00,,6.5,
108,서울,2017-01-20 09:00,.6,6.6,.8
108,서울,2017-01-20 10:00,,6.6,
108,서울,2017-01-20 11:00,,6.5,
108,서울,2017-01-20 12:00,,6.4,
108,서울,2017-01-20 13:00,,5.8,
108,서울,2017-01-20 14:00,,5.5,
108,서울,2017-01-20 15:00,,5,
108,서울,2017-01-20 16:00,,4.6,
108,서울,2017-01-20 17:00,,4.3,
108,서울,2017-01-20 18:00,,4.3,
108,서울,2017-01-20 19:00,,4.3,
108,서울,2017-01-20 20:00,,4.3,
108,서울,2017-01-20 21:00,,4.3,
108,서울,2017-01-20 22:00,,4.3,
108,서울,2017-01-20 23:00,,4.3,
108,서울,2017-01-21 00:00,,4.3,
108,서울,2017-01-21 01:00,,4.3,
108,서울,2017-01-21 02:00,,4.3,
108,서울,2017-01-21 03:00,,4.3,
108,서울,2017-01-21 04:00,,4.3,
108,서울,2017-01-21 05:00,,4.3,
108,서울,2017-01-21 06:00,,4,
108,서울,2017-01-21 07:00,,4,
108,서울,2017-01-21 08:00,,4,
108,서울,2017-01-21 09:00,0,4,0
108,서울,2017-01-21 10:00,,4,
108,서울,2017-01-21 11:00,,3.6,
108,서울,2017-01-21 12:00,0,3.6,0
108,서울,2017-01-21 13:00,,2.6,
108,서울,2017-01-21 14:00,,2.5,
108,서울,2017-01-21 15:00,.1,2.7,.2
108,서울,2017-01-21 16:00,,3.4,
108,서울,2017-01-21 17:00,,4.1,
108,서울,2017-01-21 18:00,1.3,4.8,2.2
108,서울,2017-01-21 19:00,,4.8,
108,서울,2017-01-21 20:00,,4.8,
108,서울,2017-01-21 21:00,0,4.8,0
108,서울,2017-01-21 22:00,,4.8,
108,서울,2017-01-21 23:00,,4.8,
108,서울,2017-01-22 00:00,.7,5.7,1
108,서울,2017-01-22 01:00,,5.7,
108,서울,2017-01-22 02:00,,5.7,
108,서울,2017-01-22 03:00,0,5.7,0
108,서울,2017-01-22 04:00,,5.7,
108,서울,2017-01-22 05:00,,5.7,
108,서울,2017-01-22 06:00,,5.7,
108,서울,2017-01-22 07:00,,5.5,
108,서울,2017-01-22 08:00,,5.4,
108,서울,2017-01-22 09:00,,5.2,
108,서울,2017-01-22 10:00,,5,
108,서울,2017-01-22 11:00,,4.6,
108,서울,2017-01-22 12:00,,4.5,
108,서울,2017-01-22 13:00,,4.2,
108,서울,2017-01-22 14:00,,4,
108,서울,2017-01-22 15:00,,3.9,
108,서울,2017-01-22 16:00,,3.7,
108,서울,2017-01-22 17:00,,3.6,
108,서울,2017-01-22 18:00,,3.5,
108,서울,2017-01-22 19:00,,3.5,
108,서울,2017-01-22 20:00,,3.5,
108,서울,2017-01-22 21:00,,3.5,
108,서울,2017-01-22 22:00,,3.5,
108,서울,2017-01-22 23:00,,3.5,
108,서울,2017-01-23 00:00,,3.5,
108,서울,2017-01-23 01:00,,3.5,
108,서울,2017-01-23 02:00,,3.5,
108,서울,2017-01-23 03:00,,3.5,
108,서울,2017-01-23 04:00,,3.5,
108,서울,2017-01-23 05:00,,3.5,
108,서울,2017-01-23 06:00,,3.5,
108,서울,2017-01-23 07:00,,3.5,
108,서울,2017-01-23 08:00,,3.5,
108,서울,2017-01-23 09:00,,3.4,
108,서울,2017-01-23 10:00,,3.2,
108,서울,2017-01-23 11:00,,3,
108,서울,2017-01-23 12:00,,2.8,
108,서울,2017-01-23 13:00,,2.7,
108,서울,2017-01-23 14:00,,2.6,
108,서울,2017-01-23 15:00,,2.5,
108,서울,2017-01-23 16:00,,2.4,
108,서울,2017-01-23 17:00,,2.3,
108,서울,2017-01-23 18:00,,2.3,
108,서울,2017-01-23 19:00,,2.3,
108,서울,2017-01-23 20:00,,2.3,
108,서울,2017-01-23 21:00,,2.3,
108,서울,2017-01-23 22:00,,2.3,
108,서울,2017-01-23 23:00,,2.3,
108,서울,2017-01-24 00:00,,2.3,
108,서울,2017-01-24 01:00,,2.3,
108,서울,2017-01-24 02:00,,2.3,
108,서울,2017-01-24 03:00,,2.3,
108,서울,2017-01-24 04:00,,2.3,
108,서울,2017-01-24 05:00,,2.3,
108,서울,2017-01-24 06:00,,2.3,
108,서울,2017-01-24 07:00,,2.3,
108,서울,2017-01-24 08:00,,2.3,
108,서울,2017-01-24 09:00,,2.1,
108,서울,2017-01-24 10:00,,2,
108,서울,2017-01-24 11:00,,2,
108,서울,2017-01-24 12:00,,2,
108,서울,2017-01-24 13:00,,2,
108,서울,2017-01-24 14:00,,2,
108,서울,2017-01-24 15:00,,2,
108,서울,2017-01-24 16:00,,2,
108,서울,2017-01-24 17:00,,1.9,
108,서울,2017-01-24 18:00,,1.9,
108,서울,2017-01-24 19:00,,1.9,
108,서울,2017-01-24 20:00,,1.9,
108,서울,2017-01-24 21:00,,1.9,
108,서울,2017-01-24 22:00,,1.9,
108,서울,2017-01-24 23:00,,1.9,
108,서울,2017-01-25 00:00,,1.9,
108,서울,2017-01-25 01:00,,1.9,
108,서울,2017-01-25 02:00,,1.9,
108,서울,2017-01-25 03:00,,1.9,
108,서울,2017-01-25 04:00,,1.9,
108,서울,2017-01-25 05:00,,1.9,
108,서울,2017-01-25 06:00,,1.9,
108,서울,2017-01-25 07:00,,1.9,
108,서울,2017-01-25 08:00,,1.9,
108,서울,2017-01-25 09:00,,1.9,
108,서울,2017-01-25 10:00,,1.9,
108,서울,2017-01-25 11:00,,1.9,
108,서울,2017-01-25 12:00,,1.9,
108,서울,2017-01-25 13:00,,1.9,
108,서울,2017-01-25 14:00,,1.8,
108,서울,2017-01-25 15:00,,1.7,
108,서울,2017-01-25 16:00,,1.6,
108,서울,2017-01-25 17:00,,1.5,
108,서울,2017-01-25 18:00,,1.5,
