date,count,weather
2017-01-01,69, 박무   연무 
2017-01-02,82, 비   박무   연무 
2017-01-03,87, 박무   연무 
2017-01-04,114, 박무   연무 
2017-01-05,101, 
2017-01-06,93, 
2017-01-07,102, 박무   연무 
2017-01-08,69, 비   박무   연무 
2017-01-09,93, 비   박무   연무 
2017-01-10,103, 연무 
2017-01-11,119, 
2017-01-12,113, 눈 
2017-01-13,114, 눈 
2017-01-14,110, 
2017-01-15,104, 
2017-01-16,129, 
2017-01-17,94, 연무 
2017-01-18,118, 눈   연무 
2017-01-19,91, 박무   연무 
2017-01-20,75, 눈   박무   연무 
2017-01-21,101, 눈   박무   연무 
2017-01-22,83, 눈   연무 
2017-01-23,140, 연무 
2017-01-24,171, 
2017-01-25,174, 연무 
2017-01-26,146, 비   박무   연무 
2017-01-27,68, 비   박무   황사 
2017-01-28,49, 
2017-01-29,51, 눈   진눈깨비   박무 
2017-01-30,65, 눈   박무 
2017-01-31,85, 
2017-02-01,71, 
2017-02-02,82, 
2017-02-03,99, 박무   연무 
2017-02-04,88, 박무   연무 
2017-02-05,71, 비   눈   진눈깨비   박무   연무 
2017-02-06,89, 연무 
2017-02-07,78, 
2017-02-08,106, 
2017-02-09,102, 
2017-02-10,111, 
2017-02-11,105, 
2017-02-12,89, 
2017-02-13,119, 박무 
2017-02-14,81, 박무 
2017-02-15,99, 연무 
2017-02-16,95, 비   박무   연무 
2017-02-17,126, 비   안개   박무 
2017-02-18,119, 
2017-02-19,85, 비   눈   박무 
2017-02-20,97, 비   안개   박무 
2017-02-21,91, 
2017-02-22,89, 비   눈   진눈깨비   박무 
2017-02-23,104, 박무 
2017-02-24,97, 
2017-02-25,137, 박무   연무 
2017-02-26,72, 박무   연무 
2017-02-27,87, 
2017-02-28,100, 
2017-03-01,103, 비   박무   연무 
2017-03-02,86, 비   박무 
2017-03-03,104, 
2017-03-04,103, 박무   연무 
2017-03-05,80, 비   박무   연무 
2017-03-06,97, 박무   연무 
2017-03-07,87, 눈 
2017-03-08,102, 눈 
2017-03-09,94, 
2017-03-10,115, 
2017-03-11,114, 연무 
2017-03-12,81, 비   박무   연무 
2017-03-13,107, 박무   연무 
2017-03-14,99, 
2017-03-15,114, 
2017-03-16,91, 
2017-03-17,100, 연무 
2017-03-18,109, 연무 
2017-03-19,77, 연무 
2017-03-20,89, 연무 
2017-03-21,88, 박무   연무 
2017-03-22,118, 햇무리 
2017-03-23,111, 연무   햇무리 
2017-03-24,106, 연무 
2017-03-25,82, 연무 
2017-03-26,73, 박무   연무 
2017-03-27,99, 비   박무   연무 
2017-03-28,98, 박무   연무 
2017-03-29,106, 박무   연무 
2017-03-30,106, 연무   햇무리 
2017-03-31,109, 비   박무   연무 
2017-04-01,98, 비 
2017-04-02,87, 박무   연무 
2017-04-03,86, 연무 
2017-04-04,90, 연무 
2017-04-05,122, 비   박무   연무 
2017-04-06,111, 비   안개비   안개   박무 
2017-04-07,113, 박무   연무 
2017-04-08,138, 비   박무   연무 
2017-04-09,88, 비   박무 
2017-04-10,105, 
2017-04-11,132, 
2017-04-12,101, 
2017-04-13,105, 비   연무 
2017-04-14,95, 비   박무 
2017-04-15,106, 박무   연무 
2017-04-16,91, 박무   연무   햇무리 
2017-04-17,87, 비 
2017-04-18,114, 비   박무   연무 
2017-04-19,114, 황사 
2017-04-20,84, 비 
2017-04-21,121, 연무 
2017-04-22,115, 박무   연무 
2017-04-23,87, 연무 
2017-04-24,110, 
2017-04-25,88, 연무 
2017-04-26,123, 연무 
2017-04-27,108, 
2017-04-28,113, 박무   연무 
2017-04-29,111, 연무 
2017-04-30,71, 연무 
2017-05-01,89, 박무   연무 
2017-05-02,104, 연무 
2017-05-03,94, 연무 
2017-05-04,108, 
2017-05-05,66, 박무   황사 
2017-05-06,88, 황사 
2017-05-07,76, 황사 
2017-05-08,113, 황사   햇무리 
2017-05-09,83, 비   박무   연무   황사 
2017-05-10,94, 비   박무 
2017-05-11,98, 비   박무   연무 
2017-05-12,92, 연무 
2017-05-13,117, 비   박무   연무 
2017-05-14,81, 박무 
2017-05-15,93, 비 
2017-05-16,102, 박무 
2017-05-17,103, 연무 
2017-05-18,123, 
2017-05-19,129, 연무 
2017-05-20,125, 연무 
2017-05-21,114, 
2017-05-22,109, 연무 
2017-05-23,132, 비   박무 
2017-05-24,124, 비   박무 
2017-05-25,99, 박무   연무 
2017-05-26,137, 
2017-05-27,136, 
2017-05-28,97, 연무 
2017-05-29,103, 박무   연무 
2017-05-30,108, 박무   연무 
2017-05-31,95, 
2017-06-01,98, 우박   박무 
2017-06-02,110, 비 
2017-06-03,113, 
2017-06-04,95, 
2017-06-05,110, 비 
2017-06-06,91, 비   박무 
2017-06-07,101, 비   안개비   박무 
2017-06-08,106, 박무   연무 
2017-06-09,106, 비   박무   연무 
2017-06-10,112, 비   소나기   박무 
2017-06-11,88, 
2017-06-12,101, 
2017-06-13,118, 비   연무 
2017-06-14,123, 박무   연무 
2017-06-15,110, 박무   연무 
2017-06-16,115, 박무   연무 
2017-06-17,141, 연무 
2017-06-18,70, 연무 
2017-06-19,97, 박무   연무   햇무리 
2017-06-20,100, 비   연무 
2017-06-21,99, 비   연무 
2017-06-22,107, 박무   연무   햇무리 
2017-06-23,138, 연무 
2017-06-24,140, 비   박무   연무 
2017-06-25,69, 비   소나기   박무   연무 
2017-06-26,111, 비   소나기   박무 
2017-06-27,103, 비   박무   연무 
2017-06-28,105, 박무   연무 
2017-06-29,96, 박무   연무   채운 
2017-06-30,118, 박무   연무 
2017-07-01,125, 비   박무   연무 
2017-07-02,95, 비   박무 
2017-07-03,108, 비   박무 
2017-07-04,96, 비   박무   연무 
2017-07-05,104, 박무   연무 
2017-07-06,112, 비   소나기   박무   연무 
2017-07-07,112, 비   박무 
2017-07-08,94, 비   박무 
2017-07-09,87, 비   소나기   박무   연무 
2017-07-10,111, 비   박무 
2017-07-11,117, 비   박무   연무 
2017-07-12,106, 안개비   박무   연무 
2017-07-13,129, 박무   연무 
2017-07-14,104, 비   박무   연무 
2017-07-15,105, 비   박무 
2017-07-16,82, 비   박무 
2017-07-17,103, 비   소나기   박무 
2017-07-18,94, 비   안개비   박무   연무 
2017-07-19,106, 박무   연무 
